Model,R2,MAE,RMSE,MdAPE (%),n_test
RandomForest (tuned),0.9940545012651328,10899.75626378497,79030.60187117377,0.10374486628767984,8000
Ridge (tuned),0.9619333495899239,8077.145945062772,199973.97330674366,0.3092881834195314,8000
